country_of_bean_origin,cocoa_percent,rating_category,rating,counts_of_ingredients,cocoa_butter,vanilla,lecithin,salt,sugar,first_taste,second_taste,third_taste,fourth_taste,number_of_taste
Madagascar,76.0,1,3.75,3,1,0,0,0,1,cocoa,blackberry,full body,no taste,3
Dominican republic,76.0,1,3.5,3,1,0,0,0,1,cocoa,vegetal,savory,no taste,3
Tanzania,76.0,1,3.25,3,1,0,0,0,1,rich cocoa,fatty,bready,no taste,3
Bolivia,70.0,1,3.5,4,1,0,1,0,1,vegetal,nutty,no taste,no taste,2
Venezuela,70.0,1,4.0,4,1,0,1,0,1,oily,nut,caramel,raspberry,4
Ecuador,70.0,1,3.75,4,1,0,1,0,1,sandy,nutty,cocoa,fig,4
Peru,70.0,1,3.5,4,1,0,1,0,1,cocoa,sour,intense tangerine,no taste,3
Brazil,70.0,1,3.25,4,1,0,1,0,1,mild tobacco,no taste,no taste,no taste,1
Papua new guinea,70.0,1,3.25,4,1,0,1,0,1,mild fruit,strong smoke,no taste,no taste,2
Peru,70.0,1,3.25,4,1,0,1,0,1,green,nutty,cocoa,no taste,3
Madagascar,70.0,0,3.0,4,1,0,1,0,1,sticky,red fruit,sour,no taste,3
Burma,70.0,0,3.0,4,1,0,1,0,1,sticky,smokey,grass,no taste,3
Panama,70.0,0,2.75,4,1,0,1,0,1,brief fruit note,earthy,nutty,no taste,3
Colombia,70.0,0,2.75,4,1,0,1,0,1,burnt rubber,alkalyzed notes,no taste,no taste,2
Peru,70.0,1,4.0,4,1,0,1,0,1,delicate,hazelnut,brownie,no taste,3
Venezuela,70.0,1,3.75,4,1,0,1,0,1,astringent,nutty,chocolatey,no taste,3
Cuba,70.0,1,3.5,4,1,0,1,0,1,sliglty dry,papaya,no taste,no taste,2
Venezuela,70.0,1,3.5,4,1,0,1,0,1,nutty,mild choco,roasty,no taste,3
Venezuela,70.0,0,2.75,4,1,0,1,0,1,harsh,leather,earthy,no taste,3
Togo,70.0,1,3.5,4,1,0,1,0,1,mild profile,chocolaty,spice,no taste,3
Peru,70.0,1,3.5,4,1,0,1,0,1,grainy texture,cocoa,sweet,no taste,3
Togo,70.0,0,3.0,4,1,0,1,0,1,roasty,acidic,nutty,no taste,3
Togo,70.0,0,2.75,4,1,0,1,0,1,burnt wood,earthy,choco,no taste,3
Venezuela,70.0,1,3.5,4,1,0,1,0,1,alluring aroma,powdery,nutty,no taste,3
Peru,70.0,1,3.75,2,0,0,0,0,1,yellow fruit,no taste,no taste,no taste,1
Peru,70.0,1,3.75,2,0,0,0,0,1,intense,nutty,cherry,cocoa,4
Peru,70.0,1,3.5,2,0,0,0,0,1,hot cocoa,rich,molasses,no taste,3
Mexico,74.0,1,3.25,2,0,0,0,0,1,herbal,molasses,hammy,no taste,3
Fiji,72.0,1,3.5,3,1,0,0,0,1,cocoa and powerful tang,no taste,no taste,no taste,1
Fiji,80.0,1,3.25,3,1,0,0,0,1,spicy and candy-like,no taste,no taste,no taste,1
Vanuatu,70.0,0,3.0,2,0,0,0,0,1,sandy,woody,spicy,sweet,4
Vanuatu,70.0,0,2.75,2,0,0,0,0,1,basic,sweet,cocoa,woody,4
Vanuatu,70.0,0,2.75,2,0,0,0,0,1,sweet,cocoa,rubbery,no taste,3
Vanuatu,70.0,0,2.5,2,0,0,0,0,1,unrefined,sweet,metallic,no taste,3
Ecuador,70.0,0,3.0,4,1,1,0,0,1,roasty,nutty,coffee,no taste,3
Mexico,70.0,0,3.0,3,1,0,0,0,1,gritty,spice,cocoa,no taste,3
Madagascar,75.0,0,2.75,4,1,0,1,0,1,strong pepper,musty,no taste,no taste,2
Brazil,75.0,0,2.75,4,1,0,1,0,1,fatty,intense,woody,no taste,3
Indonesia,75.0,1,3.75,4,1,0,1,0,1,hay,nut,berry,no taste,3
Venezuela,75.0,0,2.5,5,1,1,1,0,1,sandy,dirt,ashey,no taste,3
Peru,75.0,0,2.5,5,1,1,1,0,1,cardboard,dirt,roasty,no taste,3
Madagascar,75.0,0,3.0,5,1,1,0,1,1,citrus,fatty,dairy,no taste,3
Vietnam,75.0,0,2.75,5,1,1,0,1,1,nutty,roasty,odd dairy,no taste,3
Ecuador,70.0,1,3.5,3,1,0,0,0,1,sandy,green,floral,no taste,3
Nicaragua,70.0,1,3.5,3,1,0,0,0,1,sandy,sweet,nibby,no taste,3
Tanzania,70.0,1,3.5,3,1,0,0,0,1,sandy,melon,banana,no taste,3
Vietnam,70.0,1,3.5,3,1,0,0,0,1,sandy,sweet,roasty,no taste,3
Bolivia,80.0,1,3.25,4,1,0,1,0,1,gritty,berry,mild bitter,no taste,3
Dominican republic,70.0,0,3.0,3,1,0,0,0,1,sweet,coarse,nutty,no taste,3
Venezuela,70.0,1,3.75,4,1,1,0,0,1,spicy,strawberry,no taste,no taste,2
Madagascar,70.0,1,3.5,4,1,1,0,0,1,spice,nut,cocoa,fruit,4
Venezuela,70.0,0,3.0,4,1,1,0,0,1,waxy,nutty,mint,no taste,3
Indonesia,70.0,0,2.75,4,1,1,0,0,1,sticky,nutty,high acidity,no taste,3
Venezuela,70.0,0,3.0,4,1,1,0,0,1,hot spice,roasty,no taste,no taste,2
Ecuador,70.0,1,4.0,4,1,1,0,0,1,strong spice,intense pepper,no taste,no taste,2
Dominican republic,70.0,1,3.75,4,1,1,0,0,1,orange,cinamon,no taste,no taste,2
Venezuela,70.0,0,3.0,4,1,1,0,0,1,woody,red berry,sour,no taste,3
Papua new guinea,70.0,1,4.0,4,1,1,0,0,1,tart,lemon,smoke,no taste,3
Ghana,70.0,0,3.0,2,0,0,0,0,1,dry,chalky,fudge-like,no taste,3
Ecuador,70.0,0,2.75,2,0,0,0,0,1,waxy mouthfeel,spicy,no taste,no taste,2
Peru,73.0,1,3.5,3,1,0,0,0,1,oily,vegetal,nutty,cocoa,4
Peru,72.0,1,3.25,3,1,0,0,0,1,oily,vanilla,melon,cocoa,4
Peru,68.0,1,3.5,2,0,0,0,0,1,rich,sour,mild smoke,no taste,3
Madagascar,66.0,1,3.25,2,0,0,0,0,1,fruity,sour,no taste,no taste,2
Dominican republic,75.0,1,3.25,2,0,0,0,0,1,high roast,high astringnet,no taste,no taste,2
Venezuela,70.0,1,3.25,2,0,0,0,0,1,sandy,roasty,nutty,no taste,3
Belize,64.0,0,3.0,4,1,0,1,0,1,roasty,brownie,nutty,no taste,3
Blend,66.0,1,3.75,4,1,1,0,0,1,red wine,rich cocoa,long,no taste,3
Venezuela,70.0,1,3.75,4,1,1,0,0,1,creamy,fruit,cocoa,no taste,3
Grenada,70.0,1,3.5,4,1,1,0,0,1,fruity with coffee notes,no taste,no taste,no taste,1
Trinidad,70.0,1,3.5,4,1,1,0,0,1,coffee,fruit,woodsy,no taste,3
Ecuador,70.0,0,3.0,4,1,1,0,0,1,creamy,earthy,vegetal,no taste,3
Jamaica,70.0,0,3.0,4,1,1,0,0,1,sandy,woody,spicy,no taste,3
Peru,70.0,1,3.75,4,1,1,0,0,1,creamy,raspberry,nutty,no taste,3
Blend,75.0,1,3.5,4,1,1,0,0,1,sweet,delicate,complex,no taste,3
Madagascar,70.0,0,3.0,4,1,1,0,0,1,vanilla,mint,roasty,no taste,3
